"","PIG_DATE","PIG","DATE","OUA","WEANING_TIME","STALD","STI","GROUP","Newlytreated","BIRTHSOW","WEEK","SAMPLEWEEK","Florkem","Metacam","Zactran","Antibiotic","Treatment_group","Treatment_date","CorrectedGroup","RWA"
"273-2018-07-05","273-2018-07-05",273,"2018-07-05",0,1,"3","21","2018-05-03","Treated",1,"T03","Week 14",0,0,0,"0","0","0","2018-05-03","TTT"
"275-2018-04-25","275-2018-04-25",275,"2018-04-25",0,3,"Farrow","Farrow","2018-04-20","Treated",7439,"T01","Week 02",1,1,0,"Florkem_early","T02","2018-04-26","2018-04-20","TTT"
"275-2018-05-07","275-2018-05-07",275,"2018-05-07",0,3,"Farrow","Farrow","2018-04-20","Treated",7439,"T01","Week 04",1,1,0,"Florkem_early","T02","2018-04-26","2018-04-20","TTT"
"275-2018-05-15","275-2018-05-15",275,"2018-05-15",0,3,"1","7","2018-04-20","Treated",7439,"T01","Week 05",1,1,0,"Florkem_early","T02","2018-04-26","2018-04-20","TTT"
"275-2018-05-24","275-2018-05-24",275,"2018-05-24",0,3,"1","7","2018-04-20","Treated",7439,"T01","Week 06",1,1,0,"Florkem_early","T02","2018-04-26","2018-04-20","TTT"
"275-2018-05-29","275-2018-05-29",275,"2018-05-29",0,3,"1","7","2018-04-20","Treated",7439,"T01","Week 07",1,1,0,"Florkem_early","T02","2018-04-26","2018-04-20","TTT"
"275-2018-06-07","275-2018-06-07",275,"2018-06-07",0,3,"1","7","2018-04-20","Treated",7439,"T01","Week 08",1,1,0,"Florkem_early","T02","2018-04-26","2018-04-20","TTT"
"275-2018-07-05","275-2018-07-05",275,"2018-07-05",0,3,"2","21","2018-04-20","Treated",7439,"T01","Week 14",1,1,0,"Florkem_early","T02","2018-04-26","2018-04-20","TTT"
"280-2018-04-25","280-2018-04-25",280,"2018-04-25",1,3,"Farrow","Farrow","Untreated","Untreated",7439,"UT","Week 02",0,0,0,"0","0","0","Untreated","UUU"
"280-2018-05-07","280-2018-05-07",280,"2018-05-07",1,3,"Farrow","Farrow","Untreated","Untreated",7439,"UT","Week 04",0,0,0,"0","0","0","Untreated","UUU"
"280-2018-05-15","280-2018-05-15",280,"2018-05-15",1,3,"1","7","Untreated","Untreated",7439,"UT","Week 05",0,0,0,"0","0","0","Untreated","UUU"
"280-2018-05-24","280-2018-05-24",280,"2018-05-24",1,3,"1","7","Untreated","Untreated",7439,"UT","Week 06",0,0,0,"0","0","0","Untreated","UUU"
"280-2018-05-29","280-2018-05-29",280,"2018-05-29",1,3,"1","7","Untreated","Untreated",7439,"UT","Week 07",0,0,0,"0","0","0","Untreated","UUU"
"280-2018-07-05","280-2018-07-05",280,"2018-07-05",1,3,"2","2","Untreated","Untreated",7439,"UT","Week 14",0,0,0,"0","0","0","Untreated","UUU"
"285-2018-04-25","285-2018-04-25",285,"2018-04-25",1,2,"Farrow","Farrow","Untreated","Untreated",7424,"UT","Week 02",0,0,0,"0","0","0","Untreated","UUU"
"285-2018-05-07","285-2018-05-07",285,"2018-05-07",1,2,"Farrow","Farrow","Untreated","Untreated",7424,"UT","Week 04",0,0,0,"0","0","0","Untreated","UUU"
"285-2018-05-15","285-2018-05-15",285,"2018-05-15",1,2,"1","3","Untreated","Untreated",7424,"UT","Week 05",0,0,0,"0","0","0","Untreated","UUU"
"285-2018-05-24","285-2018-05-24",285,"2018-05-24",1,2,"1","3","Untreated","Untreated",7424,"UT","Week 06",0,0,0,"0","0","0","Untreated","UUU"
"285-2018-05-29","285-2018-05-29",285,"2018-05-29",1,2,"1","3","Untreated","Untreated",7424,"UT","Week 07",0,0,0,"0","0","0","Untreated","UUU"
"285-2018-06-07","285-2018-06-07",285,"2018-06-07",1,2,"1","3","Untreated","Untreated",7424,"UT","Week 08",0,0,0,"0","0","0","Untreated","UUU"
"285-2018-07-05","285-2018-07-05",285,"2018-07-05",1,2,"2","51","Untreated","Untreated",7424,"UT","Week 14",0,0,0,"0","0","0","Untreated","UUU"
"286-2018-05-07","286-2018-05-07",286,"2018-05-07",0,2,"Farrow","Farrow","2018-05-03","Treated",1,"T03","Week 04",0,0,0,"0","0","0","2018-05-03","TTT"
"286-2018-05-24","286-2018-05-24",286,"2018-05-24",0,2,"1","12","2018-05-03","Treated",1,"T03","Week 06",0,0,0,"0","0","0","2018-05-03","TTT"
"286-2018-05-29","286-2018-05-29",286,"2018-05-29",0,2,"1","21","2018-05-03","Treated",1,"T03","Week 07",0,0,0,"0","0","0","2018-05-03","TTT"
"286-2018-06-07","286-2018-06-07",286,"2018-06-07",0,2,"1","21","2018-05-03","Treated",1,"T03","Week 08",0,0,0,"0","0","0","2018-05-03","TTT"
"286-2018-07-05","286-2018-07-05",286,"2018-07-05",0,2,"3","61","2018-05-03","Treated",1,"T03","Week 14",0,0,0,"0","0","0","2018-05-03","TTT"
"289-2018-05-07","289-2018-05-07",289,"2018-05-07",0,2,"Farrow","Farrow","2018-04-20","Treated",1,"T01","Week 04",0,0,0,"Florkem_early","0","0","2018-04-20","TTT"
"289-2018-05-15","289-2018-05-15",289,"2018-05-15",0,2,"1","3","2018-04-20","Treated",1,"T01","Week 05",0,0,0,"Florkem_early","0","0","2018-04-20","TTT"
"289-2018-05-24","289-2018-05-24",289,"2018-05-24",0,2,"1","3","2018-04-20","Treated",1,"T01","Week 06",0,0,0,"Florkem_early","0","0","2018-04-20","TTT"
"289-2018-05-29","289-2018-05-29",289,"2018-05-29",0,2,"1","3","2018-04-20","Treated",1,"T01","Week 07",0,0,0,"Florkem_early","0","0","2018-04-20","TTT"
"289-2018-06-07","289-2018-06-07",289,"2018-06-07",0,2,NA,NA,"2018-04-20","Treated",1,"T01","Week 08",0,0,0,"Florkem_early","0","0","2018-04-20","TTT"
"290-2018-05-07","290-2018-05-07",290,"2018-05-07",1,2,"Farrow","Farrow","Untreated","Untreated",1,"UT","Week 04",0,0,0,"0","0","0","Untreated","UUU"
"290-2018-05-15","290-2018-05-15",290,"2018-05-15",1,2,"1","2","Untreated","Untreated",1,"UT","Week 05",0,0,0,"0","0","0","Untreated","UUU"
"290-2018-05-24","290-2018-05-24",290,"2018-05-24",1,2,"1","2","Untreated","Untreated",1,"UT","Week 06",0,0,0,"0","0","0","Untreated","UUU"
"290-2018-05-29","290-2018-05-29",290,"2018-05-29",1,2,"1","2","Untreated","Untreated",1,"UT","Week 07",0,0,0,"0","0","0","Untreated","UUU"
"290-2018-06-07","290-2018-06-07",290,"2018-06-07",1,2,"1","2","Untreated","Untreated",1,"UT","Week 08",0,0,0,"0","0","0","Untreated","UUU"
"290-2018-07-05","290-2018-07-05",290,"2018-07-05",1,2,"1","31","Untreated","Untreated",1,"UT","Week 14",0,0,0,"0","0","0","Untreated","UUU"
"295-2018-04-25","295-2018-04-25",295,"2018-04-25",1,2,"Farrow","Farrow","Untreated","Untreated",7424,"UT","Week 02",0,0,0,"0","0","0","Untreated","UUU"
"295-2018-05-07","295-2018-05-07",295,"2018-05-07",1,2,"Farrow","Farrow","Untreated","Untreated",7424,"UT","Week 04",0,0,0,"0","0","0","Untreated","UUU"
"295-2018-05-15","295-2018-05-15",295,"2018-05-15",1,2,"1","2","Untreated","Untreated",7424,"UT","Week 05",0,0,0,"0","0","0","Untreated","UUU"
"295-2018-05-29","295-2018-05-29",295,"2018-05-29",1,2,"1","2","Untreated","Untreated",7424,"UT","Week 07",0,0,0,"0","0","0","Untreated","UUU"
"295-2018-06-07","295-2018-06-07",295,"2018-06-07",1,2,"1","2","Untreated","Untreated",7424,"UT","Week 08",0,0,0,"0","0","0","Untreated","UUU"
"295-2018-07-05","295-2018-07-05",295,"2018-07-05",1,2,"1","5","Untreated","Untreated",7424,"UT","Week 14",0,0,0,"0","0","0","Untreated","UUU"
"30-2018-04-25","30-2018-04-25",30,"2018-04-25",1,3,"Farrow","Farrow","Untreated","Untreated",7433,"UT","Week 02",0,0,0,"0","0","0","Untreated","UUU"
"30-2018-05-07","30-2018-05-07",30,"2018-05-07",1,3,"Farrow","Farrow","Untreated","Untreated",7433,"UT","Week 04",0,0,0,"0","0","0","Untreated","UUU"
"30-2018-05-15","30-2018-05-15",30,"2018-05-15",1,3,"1","3","Untreated","Untreated",7433,"UT","Week 05",0,0,0,"0","0","0","Untreated","UUU"
"30-2018-05-24","30-2018-05-24",30,"2018-05-24",1,3,"1","3","Untreated","Untreated",7433,"UT","Week 06",0,0,0,"0","0","0","Untreated","UUU"
"30-2018-05-29","30-2018-05-29",30,"2018-05-29",1,3,"1","3","Untreated","Untreated",7433,"UT","Week 07",0,0,0,"0","0","0","Untreated","UUU"
"30-2018-06-07","30-2018-06-07",30,"2018-06-07",1,3,"1","3","Untreated","Untreated",7433,"UT","Week 08",0,0,0,"0","0","0","Untreated","UUU"
"30-2018-07-05","30-2018-07-05",30,"2018-07-05",1,3,"4","51","Untreated","Untreated",7433,"UT","Week 14",0,0,0,"0","0","0","Untreated","UUU"
"300-2018-04-25","300-2018-04-25",300,"2018-04-25",1,2,"Farrow","Farrow","Untreated","Untreated",7424,"UT","Week 02",0,0,0,"0","0","0","Untreated","UUU"
"300-2018-05-07","300-2018-05-07",300,"2018-05-07",1,2,"Farrow","Farrow","Untreated","Untreated",7424,"UT","Week 04",0,0,0,"0","0","0","Untreated","UUU"
"300-2018-05-15","300-2018-05-15",300,"2018-05-15",1,2,"1","2","Untreated","Untreated",7424,"UT","Week 05",0,0,0,"0","0","0","Untreated","UUU"
"300-2018-05-24","300-2018-05-24",300,"2018-05-24",1,2,"1","2","Untreated","Untreated",7424,"UT","Week 06",0,0,0,"0","0","0","Untreated","UUU"
"300-2018-05-29","300-2018-05-29",300,"2018-05-29",1,2,"1","2","Untreated","Untreated",7424,"UT","Week 07",0,0,0,"0","0","0","Untreated","UUU"
"300-2018-06-07","300-2018-06-07",300,"2018-06-07",1,2,"1","2","Untreated","Untreated",7424,"UT","Week 08",0,0,0,"0","0","0","Untreated","UUU"
"300-2018-07-05","300-2018-07-05",300,"2018-07-05",1,2,"4","61","Untreated","Untreated",7424,"UT","Week 14",0,0,0,"0","0","0","Untreated","UUU"
"305-2018-04-25","305-2018-04-25",305,"2018-04-25",1,3,"Farrow","Farrow","Untreated","Untreated",7707,"UT","Week 02",0,1,1,"0","T03","2018-05-07","Untreated","UUU"
"305-2018-05-07","305-2018-05-07",305,"2018-05-07",1,3,"Farrow","Farrow","Untreated","Untreated",7707,"UT","Week 04",0,1,1,"0","T03","2018-05-07","Untreated","UUU"
"305-2018-05-15","305-2018-05-15",305,"2018-05-15",0,3,"1","7","2018-05-15","Newlytreated",7707,"T03","Week 05",0,1,1,"Zactran","T03","2018-05-07","2018-05-07","TTT"
"305-2018-05-24","305-2018-05-24",305,"2018-05-24",0,3,"1","7","2018-05-15","Treated",7707,"T03","Week 06",0,1,1,"Zactran","T03","2018-05-07","2018-05-07","TTT"
"305-2018-05-29","305-2018-05-29",305,"2018-05-29",0,3,"1","7","2018-05-15","Treated",7707,"T03","Week 07",0,1,1,"Zactran","T03","2018-05-07","2018-05-07","TTT"
"305-2018-06-07","305-2018-06-07",305,"2018-06-07",0,3,"1","71","2018-05-15","Treated",7707,"T03","Week 08",0,1,1,"Zactran","T03","2018-05-07","2018-05-07","TTT"
"305-2018-07-05","305-2018-07-05",305,"2018-07-05",0,3,"1","21","2018-05-15","Treated",7707,"T03","Week 14",0,1,1,"Zactran","T03","2018-05-07","2018-05-07","TTT"
"313-2018-05-15","313-2018-05-15",313,"2018-05-15",0,3,"1","8","2018-05-07","Treated",NA,"T04","Week 05",0,0,0,"0","0","0","2018-05-07","TTT"
"313-2018-05-24","313-2018-05-24",313,"2018-05-24",0,3,"1","8","2018-05-07","Treated",NA,"T04","Week 06",0,0,0,"0","0","0","2018-05-07","TTT"
"313-2018-05-29","313-2018-05-29",313,"2018-05-29",0,3,"1","81","2018-05-07","Treated",NA,"T04","Week 07",0,0,0,"0","0","0","2018-05-07","TTT"
"313-2018-06-07","313-2018-06-07",313,"2018-06-07",0,3,"1","81","2018-05-07","Treated",NA,"T04","Week 08",0,0,0,"0","0","0","2018-05-07","TTT"
"315-2018-04-25","315-2018-04-25",315,"2018-04-25",1,3,"Farrow","Farrow","Untreated","Untreated",7707,"UT","Week 02",0,1,1,"0","T02","2018-05-02","Untreated","UUU"
"315-2018-05-07","315-2018-05-07",315,"2018-05-07",0,3,"Farrow","Farrow","2018-05-03","Treated",7707,"T02","Week 04",0,1,1,"Zactran","T02","2018-05-02","2018-05-02","TTT"
"315-2018-05-15","315-2018-05-15",315,"2018-05-15",0,3,"1","8","2018-05-03","Treated",7707,"T02","Week 05",0,1,1,"Zactran","T02","2018-05-02","2018-05-02","TTT"
"315-2018-05-24","315-2018-05-24",315,"2018-05-24",0,3,"1","8","2018-05-03","Treated",7707,"T02","Week 06",0,1,1,"Zactran","T02","2018-05-02","2018-05-02","TTT"
"315-2018-05-29","315-2018-05-29",315,"2018-05-29",0,3,"1","8","2018-05-03","Treated",7707,"T02","Week 07",0,1,1,"Zactran","T02","2018-05-02","2018-05-02","TTT"
"315-2018-06-07","315-2018-06-07",315,"2018-06-07",0,3,"1","81","2018-05-03","Treated",7707,"T02","Week 08",0,1,1,"Zactran","T02","2018-05-02","2018-05-02","TTT"
"321-2018-05-07","321-2018-05-07",321,"2018-05-07",0,3,"Farrow","Farrow","2018-04-20","Treated",7019,"T01","Week 04",1,1,0,"Florkem_early","T02","2018-04-26","2018-04-20","TTT"
"321-2018-05-15","321-2018-05-15",321,"2018-05-15",0,3,"1","7","2018-04-20","Treated",7019,"T01","Week 05",1,1,0,"Florkem_early","T02","2018-04-26","2018-04-20","TTT"
"321-2018-05-24","321-2018-05-24",321,"2018-05-24",0,3,"1","7","2018-04-20","Treated",7019,"T01","Week 06",1,1,0,"Florkem_early","T02","2018-04-26","2018-04-20","TTT"
"321-2018-05-29","321-2018-05-29",321,"2018-05-29",0,3,"1","7","2018-04-20","Treated",7019,"T01","Week 07",1,1,0,"Florkem_early","T02","2018-04-26","2018-04-20","TTT"
"321-2018-06-07","321-2018-06-07",321,"2018-06-07",0,3,"1","7","2018-04-20","Treated",7019,"T01","Week 08",1,1,0,"Florkem_early","T02","2018-04-26","2018-04-20","TTT"
"321-2018-07-05","321-2018-07-05",321,"2018-07-05",0,3,"3","4","2018-04-20","Treated",7019,"T01","Week 14",1,1,0,"Florkem_early","T02","2018-04-26","2018-04-20","TTT"
"327-2018-05-15","327-2018-05-15",327,"2018-05-15",0,3,"8","1","2018-05-15","Newlytreated",NA,"T05","Week 05",0,0,0,"0","0","0","2018-05-15","TTT"
"327-2018-05-24","327-2018-05-24",327,"2018-05-24",0,3,"1","12","2018-05-15","Treated",NA,"T05","Week 06",0,0,0,"0","0","0","2018-05-15","TTT"
"327-2018-05-29","327-2018-05-29",327,"2018-05-29",0,3,"1","21","2018-05-15","Treated",NA,"T05","Week 07",0,0,0,"0","0","0","2018-05-15","TTT"
"327-2018-06-07","327-2018-06-07",327,"2018-06-07",0,3,"1","71","2018-05-15","Treated",NA,"T05","Week 08",0,0,0,"0","0","0","2018-05-15","TTT"
"333-2018-05-24","333-2018-05-24",333,"2018-05-24",0,3,"1","8","2018-05-15","Treated",NA,"T03","Week 06",0,1,1,"Zactran","T03","2018-05-07","2018-05-07","TTT"
"333-2018-05-29","333-2018-05-29",333,"2018-05-29",0,3,"1","8","2018-05-15","Treated",NA,"T03","Week 07",0,1,1,"Zactran","T03","2018-05-07","2018-05-07","TTT"
"333-2018-06-07","333-2018-06-07",333,"2018-06-07",0,3,"1","8","2018-05-15","Treated",NA,"T03","Week 08",0,1,1,"Zactran","T03","2018-05-07","2018-05-07","TTT"
"334-2018-05-24","334-2018-05-24",334,"2018-05-24",0,3,"1","8","2018-05-15","Treated",NA,"T03","Week 06",0,1,1,"Zactran","T03","2018-05-07","2018-05-07","TTT"
"334-2018-05-29","334-2018-05-29",334,"2018-05-29",0,3,"1","8","2018-05-15","Treated",NA,"T03","Week 07",0,1,1,"Zactran","T03","2018-05-07","2018-05-07","TTT"
"334-2018-06-07","334-2018-06-07",334,"2018-06-07",0,3,"1","81","2018-05-15","Treated",NA,"T03","Week 08",0,1,1,"Zactran","T03","2018-05-07","2018-05-07","TTT"
"334-2018-07-05","334-2018-07-05",334,"2018-07-05",0,3,"3","5","2018-05-15","Treated",NA,"T03","Week 14",0,1,1,"Zactran","T03","2018-05-07","2018-05-07","TTT"
"335-2018-04-25","335-2018-04-25",335,"2018-04-25",1,3,"Farrow","Farrow","Untreated","Untreated",7707,"UT","Week 02",0,1,1,"0","T03","2018-05-07","Untreated","UUU"
"335-2018-05-07","335-2018-05-07",335,"2018-05-07",1,3,"Farrow","Farrow","Untreated","Untreated",7707,"UT","Week 04",0,1,1,"0","T03","2018-05-07","Untreated","UUU"
"335-2018-05-15","335-2018-05-15",335,"2018-05-15",0,3,"1","8","2018-05-15","Newlytreated",7707,"T03","Week 05",0,1,1,"Zactran","T03","2018-05-07","2018-05-07","TTT"
"335-2018-05-29","335-2018-05-29",335,"2018-05-29",0,3,"1","8","2018-05-15","Treated",7707,"T03","Week 07",0,1,1,"Zactran","T03","2018-05-07","2018-05-07","TTT"
"335-2018-06-07","335-2018-06-07",335,"2018-06-07",0,3,"1","8","2018-05-15","Treated",7707,"T03","Week 08",0,1,1,"Zactran","T03","2018-05-07","2018-05-07","TTT"
"335-2018-07-05","335-2018-07-05",335,"2018-07-05",0,3,"3","4","2018-05-15","Treated",7707,"T03","Week 14",0,1,1,"Zactran","T03","2018-05-07","2018-05-07","TTT"
"337-2018-05-07","337-2018-05-07",337,"2018-05-07",0,3,"Farrow","Farrow","2018-05-03","Treated",7707,"T02","Week 04",0,1,1,"Zactran","T02","2018-05-02","2018-05-02","TTT"
"337-2018-05-24","337-2018-05-24",337,"2018-05-24",0,3,"1","8","2018-05-03","Treated",7707,"T02","Week 06",0,1,1,"Zactran","T02","2018-05-02","2018-05-02","TTT"
"337-2018-05-29","337-2018-05-29",337,"2018-05-29",0,3,"1","81","2018-05-03","Treated",7707,"T02","Week 07",0,1,1,"Zactran","T02","2018-05-02","2018-05-02","TTT"
"337-2018-06-07","337-2018-06-07",337,"2018-06-07",0,3,"1","81","2018-05-03","Treated",7707,"T02","Week 08",0,1,1,"Zactran","T02","2018-05-02","2018-05-02","TTT"
"337-2018-07-05","337-2018-07-05",337,"2018-07-05",0,3,"3","5","2018-05-03","Treated",7707,"T02","Week 14",0,1,1,"Zactran","T02","2018-05-02","2018-05-02","TTT"
"340-2018-04-25","340-2018-04-25",340,"2018-04-25",1,3,"Farrow","Farrow","Untreated","Untreated",7707,"UT","Week 02",0,1,1,"0","T03","2018-05-07","Untreated","UUU"
"340-2018-05-07","340-2018-05-07",340,"2018-05-07",1,3,"Farrow","Farrow","Untreated","Untreated",7707,"UT","Week 04",0,1,1,"0","T03","2018-05-07","Untreated","UUU"
"340-2018-05-15","340-2018-05-15",340,"2018-05-15",0,3,"1","1","2018-05-15","Newlytreated",7707,"T03","Week 05",0,1,1,"Zactran","T03","2018-05-07","2018-05-07","TTT"
"340-2018-05-24","340-2018-05-24",340,"2018-05-24",0,3,"1","1","2018-05-15","Treated",7707,"T03","Week 06",0,1,1,"Zactran","T03","2018-05-07","2018-05-07","TTT"
"340-2018-05-29","340-2018-05-29",340,"2018-05-29",0,3,"1","1","2018-05-15","Treated",7707,"T03","Week 07",0,1,1,"Zactran","T03","2018-05-07","2018-05-07","TTT"
"340-2018-06-07","340-2018-06-07",340,"2018-06-07",0,3,"1","1","2018-05-15","Treated",7707,"T03","Week 08",0,1,1,"Zactran","T03","2018-05-07","2018-05-07","TTT"
"340-2018-07-05","340-2018-07-05",340,"2018-07-05",0,3,"1","5","2018-05-15","Treated",7707,"T03","Week 14",0,1,1,"Zactran","T03","2018-05-07","2018-05-07","TTT"
"345-2018-04-25","345-2018-04-25",345,"2018-04-25",1,3,"Farrow","Farrow","Untreated","Untreated",7653,"UT","Week 02",0,0,0,"0","0","0","Untreated","UUU"
"345-2018-05-07","345-2018-05-07",345,"2018-05-07",1,3,"Farrow","Farrow","Untreated","Untreated",7653,"UT","Week 04",0,0,0,"0","0","0","Untreated","UUU"
"345-2018-05-15","345-2018-05-15",345,"2018-05-15",1,3,"1","6","Untreated","Untreated",7653,"UT","Week 05",0,0,0,"0","0","0","Untreated","UUU"
"345-2018-05-24","345-2018-05-24",345,"2018-05-24",1,3,"1","6","Untreated","Untreated",7653,"UT","Week 06",0,0,0,"0","0","0","Untreated","UUU"
"345-2018-05-29","345-2018-05-29",345,"2018-05-29",1,3,"1","6","Untreated","Untreated",7653,"UT","Week 07",0,0,0,"0","0","0","Untreated","UUU"
"345-2018-07-05","345-2018-07-05",345,"2018-07-05",1,3,"2","21","Untreated","Untreated",7653,"UT","Week 14",0,0,0,"0","0","0","Untreated","UUU"
"35-2018-04-25","35-2018-04-25",35,"2018-04-25",0,2,"Farrow","Farrow","2018-04-20","Treated",8107,"T01","Week 02",0,0,0,"Florkem_early","0","0","2018-04-20","TTT"
"35-2018-05-07","35-2018-05-07",35,"2018-05-07",0,2,"Farrow","Farrow","2018-04-20","Treated",8107,"T01","Week 04",0,0,0,"Florkem_early","0","0","2018-04-20","TTT"
"35-2018-05-15","35-2018-05-15",35,"2018-05-15",0,2,"8","1","2018-04-20","Treated",8107,"T01","Week 05",0,0,0,"Florkem_early","0","0","2018-04-20","TTT"
"35-2018-05-24","35-2018-05-24",35,"2018-05-24",0,2,"1","17","2018-04-20","Treated",8107,"T01","Week 06",0,0,0,"Florkem_early","0","0","2018-04-20","TTT"
"35-2018-05-29","35-2018-05-29",35,"2018-05-29",0,2,"1","7","2018-04-20","Treated",8107,"T01","Week 07",0,0,0,"Florkem_early","0","0","2018-04-20","TTT"
"35-2018-06-07","35-2018-06-07",35,"2018-06-07",0,2,"1","71","2018-04-20","Treated",8107,"T01","Week 08",0,0,0,"Florkem_early","0","0","2018-04-20","TTT"
"35-2018-07-05","35-2018-07-05",35,"2018-07-05",0,2,"1","4","2018-04-20","Treated",8107,"T01","Week 14",0,0,0,"Florkem_early","0","0","2018-04-20","TTT"
"350-2018-04-25","350-2018-04-25",350,"2018-04-25",1,3,"Farrow","Farrow","Untreated","Untreated",7680,"UT","Week 02",1,1,0,"0","T02","2018-04-30","Untreated","UUU"
"350-2018-05-07","350-2018-05-07",350,"2018-05-07",0,3,"Farrow","Farrow","2018-05-03","Treated",7680,"T02","Week 04",1,1,0,"Florkem","T02","2018-04-30","2018-04-30","TTT"
"350-2018-05-24","350-2018-05-24",350,"2018-05-24",0,3,"1","7","2018-05-03","Treated",7680,"T02","Week 06",1,1,0,"Florkem","T02","2018-04-30","2018-04-30","TTT"
"350-2018-05-29","350-2018-05-29",350,"2018-05-29",0,3,"1","7","2018-05-03","Treated",7680,"T02","Week 07",1,1,0,"Florkem","T02","2018-04-30","2018-04-30","TTT"
"350-2018-06-07","350-2018-06-07",350,"2018-06-07",0,3,"1","7","2018-05-03","Treated",7680,"T02","Week 08",1,1,0,"Florkem","T02","2018-04-30","2018-04-30","TTT"
"350-2018-07-05","350-2018-07-05",350,"2018-07-05",0,3,"1","51","2018-05-03","Treated",7680,"T02","Week 14",1,1,0,"Florkem","T02","2018-04-30","2018-04-30","TTT"
"351-2018-04-25","351-2018-04-25",351,"2018-04-25",0,3,"Farrow","Farrow","2018-04-25","Newlytreated",7707,"T02","Week 02",1,1,0,"Florkem","T02","2018-04-26","2018-04-25","TTT"
"351-2018-05-07","351-2018-05-07",351,"2018-05-07",0,3,"Farrow","Farrow","2018-04-25","Treated",7707,"T02","Week 04",1,1,0,"Florkem","T02","2018-04-26","2018-04-25","TTT"
"351-2018-05-15","351-2018-05-15",351,"2018-05-15",0,3,"1","1","2018-04-25","Treated",7707,"T02","Week 05",1,1,0,"Florkem","T02","2018-04-26","2018-04-25","TTT"
"351-2018-05-24","351-2018-05-24",351,"2018-05-24",0,3,"1","1","2018-04-25","Treated",7707,"T02","Week 06",1,1,0,"Florkem","T02","2018-04-26","2018-04-25","TTT"
"351-2018-05-29","351-2018-05-29",351,"2018-05-29",0,3,"1","1","2018-04-25","Treated",7707,"T02","Week 07",1,1,0,"Florkem","T02","2018-04-26","2018-04-25","TTT"
"351-2018-06-07","351-2018-06-07",351,"2018-06-07",0,3,"1","1","2018-04-25","Treated",7707,"T02","Week 08",1,1,0,"Florkem","T02","2018-04-26","2018-04-25","TTT"
"352-2018-05-07","352-2018-05-07",352,"2018-05-07",0,3,"Farrow","Farrow","2018-05-03","Treated",7680,"T02","Week 04",0,1,1,"Zactran","T02","2018-05-01","2018-05-01","TTT"
"352-2018-05-15","352-2018-05-15",352,"2018-05-15",0,3,"1","8","2018-05-03","Treated",7680,"T02","Week 05",0,1,1,"Zactran","T02","2018-05-01","2018-05-01","TTT"
"352-2018-05-29","352-2018-05-29",352,"2018-05-29",0,3,"1","81","2018-05-03","Treated",7680,"T02","Week 07",0,1,1,"Zactran","T02","2018-05-01","2018-05-01","TTT"
"352-2018-06-07","352-2018-06-07",352,"2018-06-07",0,3,"1","61","2018-05-03","Treated",7680,"T02","Week 08",0,1,1,"Zactran","T02","2018-05-01","2018-05-01","TTT"
"355-2018-04-25","355-2018-04-25",355,"2018-04-25",0,3,"Farrow","Farrow","2018-04-25","Newlytreated",7680,"T02","Week 02",1,1,0,"Florkem","T02","2018-04-30","2018-04-25","TTT"
"355-2018-05-07","355-2018-05-07",355,"2018-05-07",0,3,"Farrow","Farrow","2018-04-25","Treated",7680,"T02","Week 04",1,1,0,"Florkem","T02","2018-04-30","2018-04-25","TTT"
"355-2018-05-15","355-2018-05-15",355,"2018-05-15",0,3,"1","5","2018-04-25","Treated",7680,"T02","Week 05",1,1,0,"Florkem","T02","2018-04-30","2018-04-25","TTT"
"355-2018-05-24","355-2018-05-24",355,"2018-05-24",0,3,"1","5","2018-04-25","Treated",7680,"T02","Week 06",1,1,0,"Florkem","T02","2018-04-30","2018-04-25","TTT"
"355-2018-05-29","355-2018-05-29",355,"2018-05-29",0,3,"1","5","2018-04-25","Treated",7680,"T02","Week 07",1,1,0,"Florkem","T02","2018-04-30","2018-04-25","TTT"
"355-2018-06-07","355-2018-06-07",355,"2018-06-07",0,3,"1","5","2018-04-25","Treated",7680,"T02","Week 08",1,1,0,"Florkem","T02","2018-04-30","2018-04-25","TTT"
"355-2018-07-05","355-2018-07-05",355,"2018-07-05",0,3,"1","3","2018-04-25","Treated",7680,"T02","Week 14",1,1,0,"Florkem","T02","2018-04-30","2018-04-25","TTT"
"360-2018-04-25","360-2018-04-25",360,"2018-04-25",1,3,"Farrow","Farrow","Untreated","Untreated",7653,"UT","Week 02",0,0,0,"0","0","0","Untreated","UUU"
"360-2018-05-07","360-2018-05-07",360,"2018-05-07",1,3,"Farrow","Farrow","Untreated","Untreated",7653,"UT","Week 04",0,0,0,"0","0","0","Untreated","UUU"
"360-2018-05-15","360-2018-05-15",360,"2018-05-15",1,3,"1","7","Untreated","Untreated",7653,"UT","Week 05",0,0,0,"0","0","0","Untreated","UUU"
"360-2018-05-24","360-2018-05-24",360,"2018-05-24",1,3,"1","7","Untreated","Untreated",7653,"UT","Week 06",0,0,0,"0","0","0","Untreated","UUU"
"360-2018-05-29","360-2018-05-29",360,"2018-05-29",1,3,"1","7","Untreated","Untreated",7653,"UT","Week 07",0,0,0,"0","0","0","Untreated","UUU"
"360-2018-06-07","360-2018-06-07",360,"2018-06-07",1,3,"1","7","Untreated","Untreated",7653,"UT","Week 08",0,0,0,"0","0","0","Untreated","UUU"
"360-2018-07-05","360-2018-07-05",360,"2018-07-05",1,3,"1","4","Untreated","Untreated",7653,"UT","Week 14",0,0,0,"0","0","0","Untreated","UUU"
