"","Kingdom","Phylum","Class","Order","Family","Genus","Species","Strain"
"Bacteria_Firmicutes_Bacilli_Lactobacillales_Aerococcaceae_Ignavigranum_NA.1","Bacteria","Firmicutes","Bacilli","Lactobacillales","Aerococcaceae","Ignavigranum","NA.1",""
"Bacteria_Actinobacteriota_Actinobacteria_Corynebacteriales_Corynebacteriaceae_Corynebacterium_NA.35","Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Corynebacteriaceae","Corynebacterium","NA.35",""
"Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_UCG-005_NA.194","Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","UCG-005","NA.194",""
"Bacteria_Firmicutes_Negativicutes_Veillonellales-Selenomonadales_Selenomonadaceae_NA_NA.51","Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Selenomonadaceae","NA","NA.51",""
"Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Prevotellaceae_Prevotella_NA.368","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","NA.368",""
"Bacteria_Firmicutes_Bacilli_Staphylococcales_Staphylococcaceae_Jeotgalicoccus_NA.3","Bacteria","Firmicutes","Bacilli","Staphylococcales","Staphylococcaceae","Jeotgalicoccus","NA.3",""
"Bacteria_Actinobacteriota_Actinobacteria_Actinomycetales_Actinomycetaceae_NA_NA.4","Bacteria","Actinobacteriota","Actinobacteria","Actinomycetales","Actinomycetaceae","NA","NA.4",""
"Bacteria_Cyanobacteria_Vampirivibrionia_Gastranaerophilales_NA_NA_NA.69","Bacteria","Cyanobacteria","Vampirivibrionia","Gastranaerophilales","NA","NA","NA.69",""
"Bacteria_Cyanobacteria_Vampirivibrionia_Gastranaerophilales_NA_NA_NA.70","Bacteria","Cyanobacteria","Vampirivibrionia","Gastranaerophilales","NA","NA","NA.70",""
"Bacteria_Firmicutes_Clostridia_Clostridia vadinBB60 group_NA_NA_NA.81","Bacteria","Firmicutes","Clostridia","Clostridia vadinBB60 group","NA","NA","NA.81",""
"Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_NA.118","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","NA.118",""
"Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Prevotellaceae_Prevotellaceae UCG-001_NA.45","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotellaceae UCG-001","NA.45",""
"Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Rikenellaceae_Rikenellaceae RC9 gut group_NA.115","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Rikenellaceae RC9 gut group","NA.115",""
"Bacteria_Firmicutes_Clostridia_Monoglobales_Monoglobaceae_Monoglobus_NA.153","Bacteria","Firmicutes","Clostridia","Monoglobales","Monoglobaceae","Monoglobus","NA.153",""
"Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_F082_NA_NA.13","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","F082","NA","NA.13",""
"Bacteria_Firmicutes_Clostridia_Oscillospirales_UCG-010_NA_NA.157","Bacteria","Firmicutes","Clostridia","Oscillospirales","UCG-010","NA","NA.157",""
"Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Prevotellaceae_Alloprevotella_NA.381","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Alloprevotella","NA.381",""
"Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_NA_NA.239","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","NA","NA.239",""
"Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_Oscillibacter_NA.44","Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","Oscillibacter","NA.44",""
"Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Prevotellaceae_Prevotella_NA.369","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","NA.369",""
"Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Prevotellaceae_Prevotellaceae NK3B31 group_NA.388","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotellaceae NK3B31 group","NA.388",""
"Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Roseburia_NA.54","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Roseburia","NA.54",""
"Bacteria_Firmicutes_Clostridia_Clostridia UCG-014_NA_NA_NA.511","Bacteria","Firmicutes","Clostridia","Clostridia UCG-014","NA","NA","NA.511",""
"Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_NA_NA.240","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","NA","NA.240",""
"Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Prevotellaceae_Prevotellaceae UCG-001_NA.46","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotellaceae UCG-001","NA.46",""
"Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Rikenellaceae_Rikenellaceae RC9 gut group_NA.116","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Rikenellaceae RC9 gut group","NA.116",""
"Bacteria_Firmicutes_Clostridia_MAT-CR-H4-C10_NA_NA_NA","Bacteria","Firmicutes","Clostridia","MAT-CR-H4-C10","NA","NA","NA",""
"Bacteria_Firmicutes_Bacilli_Lactobacillales_Lactobacillaceae_Lactobacillus_NA.140","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","NA.140",""
"Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Prevotellaceae_Prevotella_NA.370","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","NA.370",""
"Bacteria_Campilobacterota_Campylobacteria_Campylobacterales_Campylobacteraceae_Campylobacter_NA.29","Bacteria","Campilobacterota","Campylobacteria","Campylobacterales","Campylobacteraceae","Campylobacter","NA.29",""
"Bacteria_Firmicutes_Bacilli_Lactobacillales_Lactobacillaceae_Lactobacillus_NA.141","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","NA.141",""
"Bacteria_Firmicutes_Clostridia_Peptostreptococcales-Tissierellales_Anaerococcus_NA_NA.38","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Anaerococcus","NA","NA.38",""
"Bacteria_Firmicutes_Clostridia_Oscillospirales_[Eubacterium] coprostanoligenes group_NA_NA.156","Bacteria","Firmicutes","Clostridia","Oscillospirales","[Eubacterium] coprostanoligenes group","NA","NA.156",""
"Bacteria_Firmicutes_Bacilli_Staphylococcales_Staphylococcaceae_Staphylococcus_NA.14","Bacteria","Firmicutes","Bacilli","Staphylococcales","Staphylococcaceae","Staphylococcus","NA.14",""
"Bacteria_Firmicutes_Bacilli_Lactobacillales_Lactobacillaceae_Lactobacillus_NA.142","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","NA.142",""
"Bacteria_Firmicutes_Clostridia_Oscillospirales_[Eubacterium] coprostanoligenes group_NA_NA.157","Bacteria","Firmicutes","Clostridia","Oscillospirales","[Eubacterium] coprostanoligenes group","NA","NA.157",""
"Bacteria_Firmicutes_Clostridia_Christensenellales_Christensenellaceae_Christensenellaceae R-7 group_NA.201","Bacteria","Firmicutes","Clostridia","Christensenellales","Christensenellaceae","Christensenellaceae R-7 group","NA.201",""
"Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_NA.119","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","NA.119",""
"Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Muribaculaceae_NA_NA.291","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","NA","NA.291",""
"Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Muribaculaceae_NA_NA.292","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","NA","NA.292",""
"Bacteria_Actinobacteriota_Coriobacteriia_Coriobacteriales_Coriobacteriaceae_Collinsella_NA.5","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Collinsella","NA.5",""
"Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Roseburia_NA.55","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Roseburia","NA.55",""
"Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_NA.120","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","NA.120",""
"Bacteria_Actinobacteriota_Actinobacteria_Actinomycetales_Actinomycetaceae_Actinomyces_NA.12","Bacteria","Actinobacteriota","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinomyces","NA.12",""
"Bacteria_Firmicutes_Negativicutes_Acidaminococcales_Acidaminococcaceae_Phascolarctobacterium_NA.70","Bacteria","Firmicutes","Negativicutes","Acidaminococcales","Acidaminococcaceae","Phascolarctobacterium","NA.70",""
"Bacteria_Firmicutes_Clostridia_Oscillospirales_Butyricicoccaceae_Butyricicoccus_NA.31","Bacteria","Firmicutes","Clostridia","Oscillospirales","Butyricicoccaceae","Butyricicoccus","NA.31",""
"Bacteria_Firmicutes_Clostridia_Peptostreptococcales-Tissierellales_Anaerovoracaceae_Family XIII AD3011 group_NA.38","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Anaerovoracaceae","Family XIII AD3011 group","NA.38",""
"Bacteria_Firmicutes_Clostridia_Oscillospirales_Butyricicoccaceae_UCG-009_NA.16","Bacteria","Firmicutes","Clostridia","Oscillospirales","Butyricicoccaceae","UCG-009","NA.16",""
"Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Prevotellaceae_Prevotellaceae UCG-003_NA.92","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotellaceae UCG-003","NA.92",""
"Bacteria_Firmicutes_Clostridia_Clostridia vadinBB60 group_NA_NA_NA.82","Bacteria","Firmicutes","Clostridia","Clostridia vadinBB60 group","NA","NA","NA.82",""
"Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae_Anaerotruncus_NA","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Anaerotruncus","NA",""
"Bacteria_Firmicutes_Bacilli_Erysipelotrichales_Erysipelatoclostridiaceae_UCG-004_NA.16","Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelatoclostridiaceae","UCG-004","NA.16",""
"Bacteria_Firmicutes_Clostridia_Peptococcales_Peptococcaceae_NA_NA.17","Bacteria","Firmicutes","Clostridia","Peptococcales","Peptococcaceae","NA","NA.17",""
"Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_NA_NA.50","Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","NA","NA.50",""
"Bacteria_Firmicutes_Clostridia_Peptococcales_Peptococcaceae_NA_NA.18","Bacteria","Firmicutes","Clostridia","Peptococcales","Peptococcaceae","NA","NA.18",""
"Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Prevotellaceae_Alloprevotella_NA.382","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Alloprevotella","NA.382",""
"Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Tannerellaceae_Parabacteroides_NA.200","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides","NA.200",""
"Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Lachnospiraceae ND3007 group_NA.21","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae ND3007 group","NA.21",""
"Bacteria_Actinobacteriota_Coriobacteriia_Coriobacteriales_Coriobacteriaceae_Collinsella_NA.6","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Collinsella","NA.6",""
"Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Muribaculaceae_NA_NA.293","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","NA","NA.293",""
"Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Lachnospiraceae NC2004 group_NA","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae NC2004 group","NA",""
"Bacteria_Firmicutes_Clostridia_Clostridia UCG-014_NA_NA_NA.512","Bacteria","Firmicutes","Clostridia","Clostridia UCG-014","NA","NA","NA.512",""
"Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae_Faecalibacterium_NA.61","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Faecalibacterium","NA.61",""
"Bacteria_Firmicutes_Clostridia_Clostridia UCG-014_NA_NA_NA.513","Bacteria","Firmicutes","Clostridia","Clostridia UCG-014","NA","NA","NA.513",""
"Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Rikenellaceae_Rikenellaceae RC9 gut group_NA.117","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Rikenellaceae RC9 gut group","NA.117",""
"Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Roseburia_NA.56","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Roseburia","NA.56",""
"Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Prevotellaceae_Prevotella_NA.371","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","NA.371",""
"Bacteria_Firmicutes_Clostridia_Christensenellales_Christensenellaceae_Christensenellaceae R-7 group_NA.202","Bacteria","Firmicutes","Clostridia","Christensenellales","Christensenellaceae","Christensenellaceae R-7 group","NA.202",""
"Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae_NA_NA.123","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","NA","NA.123",""
"Bacteria_Firmicutes_Bacilli_Lactobacillales_Lactobacillaceae_Lactobacillus_NA.143","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","NA.143",""
"Bacteria_Actinobacteriota_Actinobacteria_Actinomycetales_Actinomycetaceae_Actinomyces_NA.13","Bacteria","Actinobacteriota","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinomyces","NA.13",""
"Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Lachnospira_NA.19","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospira","NA.19",""
"Bacteria_Firmicutes_Clostridia_Christensenellales_Christensenellaceae_Christensenellaceae R-7 group_NA.203","Bacteria","Firmicutes","Clostridia","Christensenellales","Christensenellaceae","Christensenellaceae R-7 group","NA.203",""
"Bacteria_Firmicutes_Clostridia_Clostridiales_Clostridiaceae_Clostridium sensu stricto 1_NA.57","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium sensu stricto 1","NA.57",""
"Bacteria_Firmicutes_Clostridia_Clostridia UCG-014_NA_NA_NA.514","Bacteria","Firmicutes","Clostridia","Clostridia UCG-014","NA","NA","NA.514",""
"Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Prevotellaceae_Prevotella_NA.372","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","NA.372",""
"Bacteria_Actinobacteriota_Coriobacteriia_Coriobacteriales_Eggerthellaceae_Enterorhabdus_NA.7","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Eggerthellaceae","Enterorhabdus","NA.7",""
"Bacteria_Firmicutes_Clostridia_Oscillospirales_Butyricicoccaceae_UCG-009_NA.17","Bacteria","Firmicutes","Clostridia","Oscillospirales","Butyricicoccaceae","UCG-009","NA.17",""
"Bacteria_Firmicutes_Clostridia_Monoglobales_Monoglobaceae_Monoglobus_NA.154","Bacteria","Firmicutes","Clostridia","Monoglobales","Monoglobaceae","Monoglobus","NA.154",""
"Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae_Subdoligranulum_NA.71","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Subdoligranulum","NA.71",""
"Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Prevotellaceae_NA_NA.79","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","NA","NA.79",""
"Bacteria_Firmicutes_Bacilli_Lactobacillales_Streptococcaceae_Streptococcus_NA.38","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","NA.38",""
"Bacteria_Firmicutes_Clostridia_Monoglobales_Monoglobaceae_Monoglobus_NA.155","Bacteria","Firmicutes","Clostridia","Monoglobales","Monoglobaceae","Monoglobus","NA.155",""
"Bacteria_Firmicutes_Clostridia_Oscillospirales_UCG-010_NA_NA.158","Bacteria","Firmicutes","Clostridia","Oscillospirales","UCG-010","NA","NA.158",""
"Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_UCG-002_NA.50","Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","UCG-002","NA.50",""
"Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Prevotellaceae_Alloprevotella_NA.383","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Alloprevotella","NA.383",""
"Bacteria_Cyanobacteria_Cyanobacteriia_Chloroplast_NA_NA_NA.3","Bacteria","Cyanobacteria","Cyanobacteriia","Chloroplast","NA","NA","NA.3",""
"Bacteria_Actinobacteriota_Coriobacteriia_Coriobacteriales_Coriobacteriaceae_Collinsella_NA.7","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Collinsella","NA.7",""
"Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Lachnospiraceae UCG-010_NA.15","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae UCG-010","NA.15",""
"Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_[Ruminococcus] gauvreauii group_NA.21","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","[Ruminococcus] gauvreauii group","NA.21",""
"Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Anaerostipes_caccae","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Anaerostipes","caccae",""
"Bacteria_Firmicutes_Bacilli_Lactobacillales_Streptococcaceae_Streptococcus_NA.39","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","NA.39",""
"Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Roseburia_NA.57","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Roseburia","NA.57",""
"Bacteria_Bacteroidota_Bacteroidia_Sphingobacteriales_Sphingobacteriaceae_Sphingobacterium_faecium","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Sphingobacterium","faecium",""
"Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Lachnospiraceae NK4A136 group_NA.41","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae NK4A136 group","NA.41",""
"Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Porphyromonadaceae_NA_NA","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Porphyromonadaceae","NA","NA",""
"Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Prevotellaceae_Prevotellaceae NK3B31 group_NA.389","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotellaceae NK3B31 group","NA.389",""
"Bacteria_Firmicutes_Bacilli_Lactobacillales_Streptococcaceae_Streptococcus_NA.40","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","NA.40",""
"Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Prevotellaceae_Prevotella_NA.373","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","NA.373",""
"Bacteria_Firmicutes_Clostridia_Clostridia vadinBB60 group_NA_NA_NA.83","Bacteria","Firmicutes","Clostridia","Clostridia vadinBB60 group","NA","NA","NA.83",""
"Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_[Ruminococcus] torques group_NA.25","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","[Ruminococcus] torques group","NA.25",""
"Bacteria_Proteobacteria_Gammaproteobacteria_Aeromonadales_Succinivibrionaceae_Anaerobiospirillum_NA.1","Bacteria","Proteobacteria","Gammaproteobacteria","Aeromonadales","Succinivibrionaceae","Anaerobiospirillum","NA.1",""
"Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_UCG-002_NA.51","Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","UCG-002","NA.51",""
"Bacteria_Firmicutes_Clostridia_NA_NA_NA_NA.22","Bacteria","Firmicutes","Clostridia","NA","NA","NA","NA.22",""
"Bacteria_Firmicutes_Clostridia_Oscillospirales_[Eubacterium] coprostanoligenes group_NA_NA.158","Bacteria","Firmicutes","Clostridia","Oscillospirales","[Eubacterium] coprostanoligenes group","NA","NA.158",""
"Bacteria_Firmicutes_Clostridia_Clostridia UCG-014_NA_NA_NA.515","Bacteria","Firmicutes","Clostridia","Clostridia UCG-014","NA","NA","NA.515",""
"Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_UCG-005_NA.195","Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","UCG-005","NA.195",""
"Bacteria_Firmicutes_Clostridia_Oscillospirales_[Eubacterium] coprostanoligenes group_NA_NA.159","Bacteria","Firmicutes","Clostridia","Oscillospirales","[Eubacterium] coprostanoligenes group","NA","NA.159",""
"Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_UCG-005_NA.196","Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","UCG-005","NA.196",""
"Bacteria_Firmicutes_Bacilli_Staphylococcales_Staphylococcaceae_Macrococcus_bohemicus/caseolyticus/epidermidis/goetzii","Bacteria","Firmicutes","Bacilli","Staphylococcales","Staphylococcaceae","Macrococcus","bohemicus/caseolyticus/epidermidis/goetzii",""
"Bacteria_Verrucomicrobiota_Kiritimatiellae_WCHB1-41_NA_NA_NA.60","Bacteria","Verrucomicrobiota","Kiritimatiellae","WCHB1-41","NA","NA","NA.60",""
"Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Dorea_NA.38","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Dorea","NA.38",""
"Bacteria_Actinobacteriota_Actinobacteria_Corynebacteriales_Corynebacteriales Incertae Sedis_Tomitella_NA","Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Corynebacteriales Incertae Sedis","Tomitella","NA",""
"Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_Oscillospira_NA.52","Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","Oscillospira","NA.52",""
"Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_NA.121","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","NA.121",""
"Bacteria_Firmicutes_Bacilli_RF39_NA_NA_NA.11","Bacteria","Firmicutes","Bacilli","RF39","NA","NA","NA.11",""
"Bacteria_Proteobacteria_Gammaproteobacteria_Burkholderiales_T34_NA_NA.4","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","T34","NA","NA.4",""
"Bacteria_Firmicutes_Clostridia_Peptostreptococcales-Tissierellales_NA_NA_NA.7","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","NA","NA","NA.7",""
"Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Prevotellaceae_Alloprevotella_NA.384","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Alloprevotella","NA.384",""
"Bacteria_Firmicutes_Clostridia_Oscillospirales_[Eubacterium] coprostanoligenes group_NA_NA.160","Bacteria","Firmicutes","Clostridia","Oscillospirales","[Eubacterium] coprostanoligenes group","NA","NA.160",""
"Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_UCG-005_NA.197","Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","UCG-005","NA.197",""
"Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Prevotellaceae_Alloprevotella_NA.385","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Alloprevotella","NA.385",""
"Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Prevotellaceae_Alloprevotella_NA.386","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Alloprevotella","NA.386",""
"Bacteria_Firmicutes_Clostridia_Clostridia UCG-014_NA_NA_NA.516","Bacteria","Firmicutes","Clostridia","Clostridia UCG-014","NA","NA","NA.516",""
"Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Prevotellaceae_Alloprevotella_NA.387","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Alloprevotella","NA.387",""
"Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_NA_NA.241","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","NA","NA.241",""
"Bacteria_Firmicutes_Clostridia_Clostridia UCG-014_NA_NA_NA.517","Bacteria","Firmicutes","Clostridia","Clostridia UCG-014","NA","NA","NA.517",""
"Bacteria_Firmicutes_Clostridia_Clostridia UCG-014_NA_NA_NA.518","Bacteria","Firmicutes","Clostridia","Clostridia UCG-014","NA","NA","NA.518",""
"Bacteria_Cyanobacteria_Vampirivibrionia_Gastranaerophilales_NA_NA_NA.71","Bacteria","Cyanobacteria","Vampirivibrionia","Gastranaerophilales","NA","NA","NA.71",""
"Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae_Faecalibacterium_NA.62","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Faecalibacterium","NA.62",""
"Bacteria_Firmicutes_Negativicutes_Acidaminococcales_Acidaminococcaceae_Phascolarctobacterium_NA.71","Bacteria","Firmicutes","Negativicutes","Acidaminococcales","Acidaminococcaceae","Phascolarctobacterium","NA.71",""
"Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Prevotellaceae_Prevotellaceae UCG-003_NA.93","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotellaceae UCG-003","NA.93",""
"Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Prevotellaceae_Alloprevotella_NA.388","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Alloprevotella","NA.388",""
"Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_[Eubacterium] xylanophilum group_NA.20","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","[Eubacterium] xylanophilum group","NA.20",""
"Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_[Eubacterium] ruminantium group_NA.30","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","[Eubacterium] ruminantium group","NA.30",""
